issuer,closing_month,project,address,state,amount_financed,sector_guess,closed,entity_type,sponsor,source,source_url,retrieved
Phoenix Industrial Development Authority,Aug-2014,Hill N Dell Apartments,"502 N. 51st St., Phoenix, AZ",AZ,8700000,housing,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2014,Mayo Clinic Arizona                                     X0A24H,"5777 E. Mayo Boulevard, Phoenix, AZ",AZ,180000000,healthcare,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2014,Legacy Traditional School - Avondale                                     X0A17H,"12320 W. Van Buren St., Avondale, AZ",AZ,17900000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2014,Legacy Traditional School - Chandler                                     X0A18H,"3201 S. Gilbert Rd., Chandler, AZ",AZ,21100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2014,Legacy Traditional School - Laveen                                     A20HX196,"7900 S. 43rd Ave., Laveen, AZ",AZ,15100000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,May-2014,Legacy Traditional School - Northwest Tucson                                     X0A23H1,"3500 W. Cortaro Farms Rd., Tucson, AZ",AZ,18900000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2014,Arizona Charter Academy,"16011 N. Dysart Rd., Surprise, AZ",AZ,11600000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Mar-2014,BASIS - San Antonio North,"318 E. Ramsey Rd., San Antonio, TX",TX,9600000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Feb-2014,BASIS - Prescott,"1901 Prescott Lakes Pkwy., Prescott, AZ",AZ,9000000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Jan-2014,Arizona Christian University,"2625 E. Cactus Rd., Phoenix, AZ",AZ,10000000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
Phoenix Industrial Development Authority,Dec-2013,BASIS - Oro Valley,"11129 N. Oracle Rd., Oro Valley, AZ",AZ,8300000,education,Y,unknown_until_sponsor_resolved,,issuer-published transaction list,https://phoenixida.com/bond-financing-process/bond-transactions/,2026-09-10
